,income,gdpp,total_fer,life_expec,child_mort,dbscan_cluster,country
97,1870,708,6.55,59.5,137.0,-1,Mali
98,28300,21100,1.36,80.3,6.8,0,Malta
99,3320,1200,4.98,68.2,97.4,-1,Mauritania
100,15900,8000,1.57,73.4,15.0,0,Mauritius
101,3340,2860,3.46,65.4,40.0,-1,"Micronesia, Fed. Sts."
102,3910,1630,1.27,69.7,17.2,-1,Moldova
103,7710,2650,2.64,66.2,26.1,-1,Mongolia
104,14000,6680,1.77,76.4,6.8,0,Montenegro
105,6440,2830,2.58,73.5,33.5,0,Morocco
106,918,419,5.56,54.5,101.0,2,Mozambique
107,3720,988,2.41,66.8,64.4,-1,Myanmar
108,8460,5190,3.6,58.6,56.0,-1,Namibia
109,1990,592,2.61,68.3,47.0,4,Nepal
110,45500,50300,1.79,80.7,4.5,1,Netherlands
111,32300,33700,2.17,80.9,6.2,1,New Zealand
112,814,348,7.49,58.8,123.0,-1,Niger
113,5150,2330,5.84,60.5,130.0,-1,Nigeria
114,62300,87800,1.95,81.0,3.2,-1,Norway
115,45300,19300,2.9,76.1,11.7,-1,Oman
116,4280,1040,3.85,65.3,92.1,-1,Pakistan
117,15400,8080,2.62,77.8,19.7,0,Panama
118,7290,3230,2.73,74.1,24.1,0,Paraguay
119,9960,5020,2.54,77.9,20.3,0,Peru
120,5600,2130,3.16,69.0,31.9,-1,Philippines
121,21800,12600,1.41,76.3,6.0,0,Poland
122,27200,22500,1.39,79.8,3.9,0,Portugal
123,125000,70300,2.07,79.5,9.0,-1,Qatar
124,17800,8230,1.59,73.7,11.5,0,Romania
125,23100,10700,1.57,69.2,10.0,-1,Russia
126,1350,563,4.51,64.6,63.6,3,Rwanda
127,5400,3450,4.34,71.5,18.9,-1,Samoa
128,45400,19300,2.96,75.1,15.7,-1,Saudi Arabia
129,2180,1000,5.06,64.0,66.8,-1,Senegal
130,12700,5410,1.4,74.7,7.6,0,Serbia
131,20400,10800,2.17,73.4,14.4,0,Seychelles
132,1220,399,5.2,55.0,160.0,-1,Sierra Leone
133,72100,46600,1.15,82.7,2.8,-1,Singapore
134,25200,16600,1.43,75.5,7.0,0,Slovak Republic
135,28700,23400,1.57,79.5,3.2,0,Slovenia
136,1780,1290,4.24,61.7,28.1,-1,Solomon Islands
137,12000,7280,2.59,54.3,53.7,-1,South Africa
138,30400,22100,1.23,80.1,4.1,0,South Korea
139,32500,30700,1.37,81.9,3.8,0,Spain
140,8560,2810,2.2,74.4,11.2,0,Sri Lanka
141,9920,6230,2.07,71.6,20.7,0,St. Vincent and the Grenadines
142,3370,1480,4.88,66.3,76.7,-1,Sudan
143,14200,8300,2.52,70.3,24.1,-1,Suriname
144,42900,52100,1.98,81.5,3.0,1,Sweden
145,55500,74600,1.52,82.2,4.5,-1,Switzerland
146,2110,738,3.51,69.6,52.4,-1,Tajikistan
147,2090,702,5.43,59.3,71.9,-1,Tanzania
148,13500,5080,1.55,76.6,14.9,0,Thailand
149,1850,3600,6.23,71.1,62.6,-1,Timor-Leste
150,1210,488,4.87,58.7,90.3,-1,Togo
151,4980,3550,3.91,69.9,17.4,-1,Tonga
152,10400,4140,2.14,76.9,17.4,0,Tunisia
153,18000,10700,2.15,78.2,19.1,0,Turkey
154,9940,4440,2.83,67.9,62.0,-1,Turkmenistan
155,1540,595,6.15,56.8,81.0,-1,Uganda
156,7820,2970,1.44,70.4,11.7,-1,Ukraine
157,57600,35000,1.87,76.5,8.6,-1,United Arab Emirates
158,36200,38900,1.92,80.3,5.2,1,United Kingdom
159,49400,48400,1.93,78.7,7.3,1,United States
160,17100,11900,2.08,76.4,10.6,0,Uruguay
161,4240,1380,2.34,68.8,36.3,4,Uzbekistan
162,2950,2970,3.5,63.0,29.2,-1,Vanuatu
163,16500,13500,2.47,75.4,17.1,0,Venezuela
164,4490,1310,1.95,73.1,23.3,0,Vietnam
165,4480,1310,4.67,67.5,56.3,-1,Yemen
166,3280,1460,5.4,52.0,83.1,-1,Zambia
